displayName,printYear,author,printLocation,category,source,textFileURL,nikudMetegFileURL,OCRDataURL,ocrFeDir,displayNameEnglish,authorEnglish,categoryEnglish,printLocationEnglish,underwentBerelUnflagging,fileName,notHumanReviewed
https://files.dicta.org.il/library-1-0/adereteliyahunach/adereteliyahunach__ocr_data_html_files.zip,אדרת אליהו על נביאים כתובים,1871,רבי אליהו בן שלמה זלמן (הגאון מוילנא),וילנה,"תנ""ך ומפרשיו",ספריית דיקטה,https://files.dicta.org.il/library-1-0/adereteliyahunach/adereteliyahunach__text_files.zip,https://files.dicta.org.il/library-1-0/adereteliyahunach/adereteliyahunach__nikud_meteg_files.zip,adereteliyahunach,Aderet Eliyahu (nevi'im ketuvim),Rabbi Elijah ben Solomon Zalman (Vilna Gaon),Tanakh and Commentaries,Vilna (Vilnius),,adereteliyahunach,
https://files.dicta.org.il/library-1-0/adirbamarom/adirbamarom__ocr_data_html_files.zip,אדיר במרום,1886,"לוצאטו, משה חיים בן יעקב חי (רמח""ל)",ורשה,קבלה,ספריית דיקטה,https://files.dicta.org.il/library-1-0/adirbamarom/adirbamarom__text_files.zip,https://files.dicta.org.il/library-1-0/adirbamarom/adirbamarom__nikud_meteg_files.zip,adirbamarom,Adir Bamarom,Moshe Chaim Luzzatto,Kabbala,Warsaw,,adirbamarom,
https://files.dicta.org.il/library-1-0/ahavastzion/ahavastzion__ocr_data_html_files.zip,אהבת ציון,1827,יחזקאל הלוי לנדא,פראג,דרשות ודרושים,ספריית דיקטה,https://files.dicta.org.il/library-1-0/ahavastzion/ahavastzion__text_files.zip,https://files.dicta.org.il/library-1-0/ahavastzion/ahavastzion__nikud_meteg_files.zip,ahavastzion,Ahavat Tzion,Yechezkel Landau,Derashot (Homilies),Prague,,ahavastzion,
https://files.dicta.org.il/library-1-0/ahavatdavid1/ahavatdavid1__ocr_data_html_files.zip,אהבת דוד,1872,שלום דוד מאירוביץ,וילנה,דרשות ודרושים,ספריית דיקטה,https://files.dicta.org.il/library-1-0/ahavatdavid1/ahavatdavid1__text_files.zip,https://files.dicta.org.il/library-1-0/ahavatdavid1/ahavatdavid1__nikud_meteg_files.zip,ahavatdavid1,Ahavat David,Rabbi Sholom Dovid Meirovitz,Derashot (Homilies),Vilna (Vilnius),,ahavatdavid1,
https://files.dicta.org.il/library-1-0/ahvataitan/ahvataitan__ocr_data_html_files.zip,אהבת איתן,1913,ר' אברהם קרניץ,וילנה,"ספרות חז""ל",ספריית דיקטה,https://files.dicta.org.il/library-1-0/ahvataitan/ahvataitan__text_files.zip,https://files.dicta.org.il/library-1-0/ahvataitan/ahvataitan__nikud_meteg_files.zip,ahvataitan,Ahvata Itan,Rabbi Avraham Karnitz,Rabbinic Literature,Vilna (Vilnius),,ahvataitan,
https://files.dicta.org.il/library-1-0/alfeimenashe/alfeimenashe__ocr_data_html_files.zip,אלפי מנשה חלק א,1880,מנשה בן יוסף מאילייה בן פורת ,וילנה,מחשבה ומוסר,ספריית דיקטה,https://files.dicta.org.il/library-1-0/alfeimenashe/alfeimenashe__text_files.zip,https://files.dicta.org.il/library-1-0/alfeimenashe/alfeimenashe__nikud_meteg_files.zip,alfeimenashe,Alfei Menashe part 1,Menashe ben porat,Jewish Thought and Ethics,Vilna (Vilnius),,alfeimenashe,
https://files.dicta.org.il/library-1-0/alfeimenashetorah/alfeimenashetorah__ocr_data_html_files.zip,"אלפי מנשה עה""ת",1935,מנשה איכנשטין,מונקאטש (מונקאץ'),חסידות,ספריית דיקטה,https://files.dicta.org.il/library-1-0/alfeimenashetorah/alfeimenashetorah__text_files.zip,https://files.dicta.org.il/library-1-0/alfeimenashetorah/alfeimenashetorah__nikud_meteg_files.zip,alfeimenashetorah,Alfei Menashe Torah,"Eichenstein, Menashe",Chassidut,Munkatch (Mukacheve),,alfeimenashetorah,
https://files.dicta.org.il/library-1-0/amudeieish/amudeieish__ocr_data_html_files.zip,עמודי אש,1843,ר' ישראל איזנשטיין,למברג (לבוב),"שאלות ותשובות (שו""ת)",ספריית דיקטה,https://files.dicta.org.il/library-1-0/amudeieish/amudeieish__text_files.zip,https://files.dicta.org.il/library-1-0/amudeieish/amudeieish__nikud_meteg_files.zip,amudeieish,Amudei Eish,"Aizinshtain, Yisrael",Responsa,Lemberg (Lvov),,amudeieish,
https://files.dicta.org.il/library-1-0/amudeieishkuntressamudeiyerushalim/amudeieishkuntressamudeiyerushalim__ocr_data_html_files.zip,עמודי אש קונטרס עמודי ירושלים,1843,ר' ישראל איזנשטיין,למברג (לבוב),"שאלות ותשובות (שו""ת)",ספריית דיקטה,https://files.dicta.org.il/library-1-0/amudeieishkuntressamudeiyerushalim/amudeieishkuntressamudeiyerushalim__text_files.zip,https://files.dicta.org.il/library-1-0/amudeieishkuntressamudeiyerushalim/amudeieishkuntressamudeiyerushalim__nikud_meteg_files.zip,amudeieishkuntressamudeiyerushalim,Amudei Eish Kuntress Amudei Yerushalim,"Aizinshtain, Yisrael",Responsa,Lemberg (Lvov),,amudeieishkuntressamudeiyerushalim,
https://files.dicta.org.il/library-1-0/amudeiohr/amudeiohr__ocr_data_html_files.zip,עמודי אור,1855,ר' יחיאל הלר,קניגסברג (קלינינגרד),"שאלות ותשובות (שו""ת)",ספריית דיקטה,https://files.dicta.org.il/library-1-0/amudeiohr/amudeiohr__text_files.zip,https://files.dicta.org.il/library-1-0/amudeiohr/amudeiohr__nikud_meteg_files.zip,amudeiohr,Amudei Ohr,Yechiel Heller,Responsa,Königsberg (Kaliningrad),,amudeiohr,
https://files.dicta.org.il/library-1-0/arugathabosemorachchayim/arugathabosemorachchayim__ocr_data_html_files.zip,"ערוגת הבושם על או""ח",1926,ר' משה גרינוולד,ניו יורק,"שאלות ותשובות (שו""ת)",ספריית דיקטה,https://files.dicta.org.il/library-1-0/arugathabosemorachchayim/arugathabosemorachchayim__text_files.zip,https://files.dicta.org.il/library-1-0/arugathabosemorachchayim/arugathabosemorachchayim__nikud_meteg_files.zip,arugathabosemorachchayim,Arugat ha-bosem orach chayim,Mosheh ben Amram Grinvald,Responsa,New York,,arugathabosemorachchayim,
https://files.dicta.org.il/library-1-0/arugathabosemyorehdeah1/arugathabosemyorehdeah1__ocr_data_html_files.zip,"ערוגת הבושם על יו""ד - א",1912,ר' משה גרינוולד,ניו יורק,"שאלות ותשובות (שו""ת)",ספריית דיקטה,https://files.dicta.org.il/library-1-0/arugathabosemyorehdeah1/arugathabosemyorehdeah1__text_files.zip,https://files.dicta.org.il/library-1-0/arugathabosemyorehdeah1/arugathabosemyorehdeah1__nikud_meteg_files.zip,arugathabosemyorehdeah1,Arugat ha-bosem yoreh deah part 1,Mosheh ben Amram Grinvald,Responsa,New York,,arugathabosemyorehdeah1,
https://files.dicta.org.il/library-1-0/arugathabosemyorehdeah2/arugathabosemyorehdeah2__ocr_data_html_files.zip,"ערוגת הבושם על יו""ד - ב",1912,ר' משה גרינוולד,ניו יורק,"שאלות ותשובות (שו""ת)",ספריית דיקטה,https://files.dicta.org.il/library-1-0/arugathabosemyorehdeah2/arugathabosemyorehdeah2__text_files.zip,https://files.dicta.org.il/library-1-0/arugathabosemyorehdeah2/arugathabosemyorehdeah2__nikud_meteg_files.zip,arugathabosemyorehdeah2,Arugat ha-bosem yoreh deah part 2,Mosheh ben Amram Grinvald,Responsa,New York,,arugathabosemyorehdeah2,
https://files.dicta.org.il/library-1-0/aryehdebeialiyahshas/aryehdebeialiyahshas__ocr_data_html_files.zip,"אריה דבי עילאי (ש""ס)",1880,אריה ליב ליפשיץ,פרמישלה,"שאלות ותשובות (שו""ת)",ספריית דיקטה,https://files.dicta.org.il/library-1-0/aryehdebeialiyahshas/aryehdebeialiyahshas__text_files.zip,https://files.dicta.org.il/library-1-0/aryehdebeialiyahshas/aryehdebeialiyahshas__nikud_meteg_files.zip,aryehdebeialiyahshas,Aryeh deBei Aliyah shas,Aryeh Leibish Lipshitz,Responsa,Przemyśl,,aryehdebeialiyahshas,
